ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Series
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",pt,168,True,True,1,26,3969.5552751143655,42.18397503530861,3476.616317589291,0.0016520543241504981,1173.6681583356462,3631.3300000000017,0.95,4841.33988910754,2398.1324321566367,3.0559442105572487,1833.664158841375,0.22505649948201512,5,rmse,2254.538943837275,,,,17982.215307550556,0.5851914411883496,16034.794297603441,-15.487510608159432,False,Boston-organic
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 3.0, 'epsilon': 0.01}",minmax,168,True,True,1,26,3985.4388222353846,2.8610989467615155,3344.5754609925416,-0.0063533925273961955,-44.99548339486024,3631.3300000000017,0.95,4090.4878619371234,2739.6000093590587,1.5169660610530626,1999.7928333540274,-0.01134197630465228,5,rmse,2883.1550469107606,,,,4728.048221501706,0.1457713510466914,3966.2542386284745,-0.13981008660284644,False,Boston-organic
prophet,prophet,,{},,168,False,True,1,26,3997.740444155112,17.423823496887973,3445.992531049289,-0.012575485238847994,313.1116025290223,3631.3300000000017,0.95,5300.422325673468,2434.359179623726,4.219033162045747,1838.2010103490884,0.06631519096230265,,,,True,,,7451.864290170375,0.25017794953040784,6668.497372178956,-1.8313827093640302,False,Boston-organic
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,1,26,4006.72989573718,84.2712644289294,3444.7631001633863,-0.01713442672823673,-827.9790649414062,3631.3300000000017,0.95,186.16258441301747,91.54140426920067,0.5510136265130227,69.96957575180156,0.998870831235889,5,rmse,2496.7722411384843,,,,14637.847228512635,0.4908460281321838,13212.538338681741,-9.92504216461206,False,Boston-organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,168,True,True,1,26,4048.6976851260497,2.1030765026822857,3481.2455648731043,-0.038553610278666106,-72.92587188258767,3631.3300000000017,0.95,4289.46933275184,2407.284804631314,7.042525373545084,1894.9493340855947,0.21913013301437234,5,rmse,2517.429582901372,,,,7359.393616156319,0.24476837465968643,6630.853485814393,-1.7615490711177992,False,Boston-organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,169,True,True,0,26,17160.418607544878,0.12139487752743824,14574.517393693466,0.6548338354581196,182011.42050248384,163592.4,0.95,30268.99641505398,15051.373302236047,0.09963146336880294,12278.021951983892,0.7830134262830438,5,rmse,35479.818844658774,,,,17160.418607544878,0.12139487752743824,14574.517393693466,0.6548338354581196,True,BuffaloRochester-conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,169,True,True,0,26,18579.09809524065,0.11392218872364133,13698.126622596152,0.5954038770865705,147192.953125,163592.4,0.95,1980.7541059007956,844.3627289911827,0.005036376545205411,611.5315745192305,0.9993171289245614,5,rmse,17873.247545549064,,,,18579.09809524065,0.11392218872364133,13698.126622596152,0.5954038770865705,False,BuffaloRochester-conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 3, 'max_features': None}",minmax,169,True,True,0,26,19313.39311680189,0.11645880477152827,15570.270175239006,0.5627904675861278,149886.56720701375,163592.4,0.95,8330.738322444147,4257.463476841836,0.027773510015885447,3342.656657965122,0.9826386908787572,5,rmse,17822.46135303551,,,,19313.39311680189,0.11645880477152827,15570.270175239006,0.5627904675861278,False,BuffaloRochester-conventional
prophet,prophet,,{},,169,False,True,0,26,21610.309048797208,0.13393012719924605,16270.966340756673,0.45261307845244103,168972.99358964755,163592.4,0.95,36286.80820093775,17154.97578339305,0.11751532837891213,13923.956651475275,0.6835716264427081,,,,True,,,21610.309048797208,0.13393012719924605,16270.966340756673,0.45261307845244103,False,BuffaloRochester-conventional
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,169,False,,0,26,22710.78583976895,0.14144669781720307,18765.05565803978,0.3954436527561469,139915.15431892517,163592.4,0.95,37625.90782536684,19273.281556349095,0.1402016040539118,15850.499889748178,0.644211472820404,,,,,"['svr', 'elasticnet', 'mlp', 'knn', 'gbt', 'xgboost', 'mlr']","(0.19384929496393863, 0.19297738860374014, 0.17633260545754972, 0.17500331558023108, 0.1311072433985826, 0.1307301519959579, 0.0)",22710.78583976895,0.14144669781720307,18765.05565803978,0.3954436527561469,False,BuffaloRochester-conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,169,False,,0,26,23188.523237535985,0.14222409887523513,19122.362222355066,0.36974159772994,139484.07508243222,163592.4,0.95,38711.025487768995,20812.957727562196,0.1511641370862988,17100.026381845648,0.5850954360147511,,,,,"['svr', 'elasticnet', 'mlp', 'knn', 'gbt']",,23188.523237535985,0.14222409887523513,19122.362222355066,0.36974159772994,False,BuffaloRochester-conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 10, 'weights': 'uniform'}",minmax,169,True,True,0,26,25247.233992692734,0.1583644647266467,21208.031730769224,0.2528632971201289,144135.079,163592.4,0.95,38390.812644944315,18264.04167873495,0.12206318701683852,14473.391671328669,0.680497407145392,5,rmse,11910.593946647448,,,,25247.233992692734,0.1583644647266467,21208.031730769224,0.2528632971201289,False,BuffaloRochester-conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 2.0, 'l1_ratio': 0.0}",minmax,169,True,True,0,26,25715.052123904763,0.16842731963277416,22140.550078459648,0.22491866396359939,137845.7208597688,163592.4,0.95,39791.83065467087,27492.250003958536,0.20079207937612165,22929.3266909915,0.276062327851439,5,rmse,9489.868556275365,,,,25715.052123904763,0.16842731963277416,22140.550078459648,0.22491866396359939,False,BuffaloRochester-conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 3.0, 'epsilon': 0.01}",minmax,169,True,True,0,26,29122.594052447083,0.20587184304101294,26315.354803351544,0.00589427635435269,135328.35228594957,163592.4,0.95,50167.85646989681,32364.016575661735,0.24458215987952003,27185.161149344804,-0.0032413818440018005,5,rmse,9372.44131196637,,,,29122.594052447083,0.20587184304101294,26315.354803351544,0.00589427635435269,False,BuffaloRochester-conventional
