ModelNickname,Estimator,Xvars,HyperParams,Scaler,Tuned,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,integration,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'max_depth': 2, 'n_estimators': 100}",minmax,True,1,26,6250.260628544316,3.644808093644722,5150.3986928685645,-3.6192189548613447,3359.912997210329,-297.59999999999854,2057.3250116165623,1.147218836906777,1528.7485502491193,0.7106763500627038,13,rmse,10203.75987570675,,,,47517.911883628854,2.822266913901201,41411.25310734253,-238.04638611576763,False,Atlanta-organic,Atlanta,organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'n_neighbors': 16, 'weights': 'uniform'}",minmax,True,0,26,165510.7580356496,0.12207757167074695,115039.28694711538,0.16353368881086416,767437.1218750001,986038.75,95786.7377013216,0.08719761116480443,69158.56225221892,0.47495610145485423,13,rmse,121561.98717967278,,,,165510.7580356496,0.12207757167074695,115039.28694711538,0.16353368881086416,True,BaltimoreWashington-conventional,BaltimoreWashington,conventional
weighted,combo,,"{'how': 'weighted', 'models': ('mlr', 'knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'prophet'), 'determine_best_by': 'ValidationMetricValue'}",,False,0,26,183598.0185194564,0.13139360637536407,125881.45127205037,-0.029276313165168766,746116.8188685044,986038.75,90551.52115516333,0.0877537051259742,68633.54048578198,0.5307801763408446,,,,,"['xgboost', 'prophet', 'gbt', 'mlp', 'elasticnet', 'knn', 'mlr']",,183598.0185194564,0.13139360637536407,125881.45127205037,-0.029276313165168766,False,BaltimoreWashington-conventional,BaltimoreWashington,conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{},,True,0,26,194586.44384113266,0.15461777706090987,141747.20822656082,-0.1561685759335374,743871.2874958515,986038.75,100883.21806312898,0.0920373111279728,73915.22567225546,0.41759820356443456,13,rmse,135760.17462775338,,,,194586.44384113266,0.15461777706090987,141747.20822656082,-0.1561685759335374,False,BaltimoreWashington-conventional,BaltimoreWashington,conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5', 'determine_best_by': 'ValidationMetricValue'}",,False,0,26,213205.22355623654,0.15590278866053384,150363.44697653918,-0.38800707685006675,702707.7247997625,986038.75,67636.71911202653,0.06880068778316174,52981.86717809842,0.7382118903613211,,,,,"['xgboost', 'prophet', 'gbt', 'mlp', 'elasticnet']",,213205.22355623654,0.15590278866053384,150363.44697653918,-0.38800707685006675,False,BaltimoreWashington-conventional,BaltimoreWashington,conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",,True,0,26,188121.82505260257,0.17283833148200006,149916.87329048832,-0.08062339515470196,765737.117223632,986038.75,132192.73084244755,0.13477744866405728,103119.10662666977,-3.108624468950438e-14,13,rmse,98667.87068373313,,,,188121.82505260257,0.17283833148200006,149916.87329048832,-0.08062339515470196,False,BaltimoreWashington-conventional,BaltimoreWashington,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'alpha': 10.0, 'l1_ratio': 0.0}",scale,True,0,26,188171.83400364305,0.17288814039326772,149958.0602874323,-0.08119800179973669,765682.0939421938,986038.75,132172.48242109033,0.1347551713564789,103103.94973705016,0.0003063235090988714,13,rmse,98692.46618390188,,,,188171.83400364305,0.17288814039326772,149958.0602874323,-0.08119800179973669,False,BaltimoreWashington-conventional,BaltimoreWashington,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'max_depth': 3, 'n_estimators': 500}",minmax,True,0,26,230698.2069764667,0.1791924432065581,169510.5306586589,-0.6251162656531248,710450.9631885313,986038.75,1237.9046862763319,0.001269964202871348,976.9757797323166,0.9999123081433272,13,rmse,65645.4088017349,,,,230698.2069764667,0.1791924432065581,169510.5306586589,-0.6251162656531248,False,BaltimoreWashington-conventional,BaltimoreWashington,conventional
prophet,prophet,,{'n_changepoints': 3},,True,0,26,219227.44908838999,0.20363686624453917,179835.6147344268,-0.467526187554959,690396.5746444553,986038.75,91369.79047745901,0.08816615012765122,69177.86786440198,0.5222616455165692,13,rmse,58329.34382774347,True,,,219227.44908838999,0.20363686624453917,179835.6147344268,-0.467526187554959,False,BaltimoreWashington-conventional,BaltimoreWashington,conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{'max_depth': 6},minmax,True,0,26,308738.6667873021,0.2923418087235705,260488.92500000002,-1.9105699940060523,581271.875,986038.75,42.14941473013792,4.1428059319471966e-05,31.407884615385967,0.9999998983358231,13,rmse,40159.52767663272,,,,308738.6667873021,0.2923418087235705,260488.92500000002,-1.9105699940060523,False,BaltimoreWashington-conventional,BaltimoreWashington,conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'lbfgs', 'random_state': 20}",,True,1,26,11968.349927326008,1.043123188203661,8274.935122561987,0.07931490698403487,1402.0952123572908,12101.419999999998,5717.9186757619445,2.6073215608323075,3595.201653433989,0.18301521182589797,13,rmse,8182.045199607717,,,,26710.204372278735,0.6221443218407301,24939.84317495996,-3.9764067121667965,True,BaltimoreWashington-organic,BaltimoreWashington,organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{},,True,1,26,12147.954698259357,1.0433123013375236,8478.303564991927,0.05147478175999831,1765.8069616556168,12101.419999999998,5958.2852114231955,2.3597402342528637,3906.145131247397,0.11288362009728936,13,rmse,8352.152516402932,,,,37153.070683367434,0.8395487264912477,34436.41235258716,-8.628327914963124,False,BaltimoreWashington-organic,BaltimoreWashington,organic
prophet,prophet,,{'n_changepoints': 1},,True,1,26,12210.812150548887,0.9344199782397514,8458.275348666766,0.041633432892400846,1564.0765565158456,12101.419999999998,5971.187665862794,2.0689406622916615,3851.2892494279085,0.10903742234161584,13,rmse,8661.133936312532,True,,,37162.45992143961,0.8421976089629484,34586.36116166844,-8.633195027400587,False,BaltimoreWashington-organic,BaltimoreWashington,organic
