ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,,1,26,158355.51784594788,40.754004654090146,124904.31954229235,-0.7950403804343051,-100328.67136096863,-105804.2699999999,42090.74264609699,1.2522440882530057,31632.381775351267,0.8259273656196623,,,,,"['knn', 'svr', 'elasticnet', 'mlp', 'xgboost', 'mlr', 'gbt']","(0.20153261412858367, 0.20051039726046246, 0.20022869995379605, 0.19757425500099, 0.1034502727888783, 0.0967037608672894, 0.0)",1733083.1296329594,2.5490059294775502,1523717.5406623718,-177.19106145697762,False,Atlanta-conventional,Atlanta,conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,,1,26,159231.3570952314,39.73701935415184,126471.70590421311,-0.8149514582839459,-94448.17357680302,-105804.2699999999,35457.16999049378,0.965308706144154,26779.55134572271,0.8764719846526761,,,,,"['knn', 'svr', 'elasticnet', 'mlp', 'xgboost']",,1774029.8762998765,2.608663544304991,1559401.9261188386,-185.7106042147393,False,Atlanta-conventional,Atlanta,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 0.3, 'l1_ratio': 0.75}",scale,168,True,True,1,26,481120.89848774427,185.50967434206362,466311.6156723822,-15.569761778923763,-461480.77056012524,-105804.2699999999,81036.19723016163,3.67103933105721,61144.98258917962,0.3547686944173346,5,rmse,37222.96917262201,,,,7245413.415720987,10.62327240741103,6330015.520113171,-3113.3933775391206,False,Atlanta-conventional,Atlanta,conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,168,True,True,1,26,3290.092733169315,1.2978640730548414,2784.075802166496,-0.2799369360770927,232.55588288977742,-297.59999999999854,3414.6569158419934,1.8875740869941893,2448.462583402148,0.2676947516475686,5,rmse,4521.726755297575,,,,4164.304557445941,0.25555679452932023,3578.7738661357816,-0.8359145140218043,True,Atlanta-organic,Atlanta,organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 15, 'weights': 'uniform'}",minmax,168,True,True,1,26,2921.164932537624,1.077244885281127,2425.3407435897434,-0.008984398548425476,745.1913333333331,-297.59999999999854,3957.1589632461387,1.2544548099703943,2733.856718309859,0.016521228130328636,5,rmse,3225.4669419842808,,,,5290.88323266834,0.3000214322970101,4139.997794871795,-1.963629032975204,False,Atlanta-organic,Atlanta,organic
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",pt,168,True,True,1,26,2918.061888324665,0.9915905198243773,2494.128665764169,-0.0068419243370310134,-83.15142387647407,-297.59999999999854,3702.9443177024536,2.285026633269174,2551.876090586811,0.13882312395242735,5,rmse,3171.931515863856,,,,5573.370397207824,0.3881504755346551,4938.611339936155,-2.288541295205554,False,Atlanta-organic,Atlanta,organic
silverkite,silverkite,,{},,168,False,True,1,26,2907.459032662169,1.0047890139603461,2491.6867723395967,0.0004615567624031147,39.899474336201905,-297.59999999999854,3784.518317882234,1.0524370310836766,2602.0616032877574,0.02096245552077458,,,,True,,,6313.458655016887,0.4523120623917737,5838.089659667632,-3.219900084877735,False,Atlanta-organic,Atlanta,organic
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,,1,26,3417.293799482846,1.281369870811214,2799.9016687437347,-0.3808195625612967,-632.282780844185,-297.59999999999854,2493.884704804955,0.9324794015968756,1748.6418187820416,0.6093833598208409,,,,,"['gbt', 'mlp', 'knn', 'xgboost', 'svr']",,14555.566693312487,1.0149390537033152,13833.200661263832,-21.4298166657753,False,Atlanta-organic,Atlanta,organic
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,1,26,5709.6590056281975,2.7295982023822605,4454.501633488582,-2.854718231641681,-522.7828369140625,-297.59999999999854,142.01417294531518,0.12435783655971948,110.04078337064936,0.9987333361542501,5,rmse,3474.7096037154192,,,,18513.5981022439,1.1799475150235976,15930.817860013523,-35.28684003401994,False,Atlanta-organic,Atlanta,organic
prophet,prophet,,{},,168,False,True,1,26,3462.5939839165417,1.2622965336359546,2730.6720405991077,-0.41767093093811325,-880.2839959138205,-297.59999999999854,3657.5600858003927,1.7903802584138948,2582.9979491601794,0.08554768849564776,,,,True,,,18621.98863664691,1.2381360831316983,17508.787983493457,-35.71297692633674,False,Atlanta-organic,Atlanta,organic
